station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Decembris,-0.4,-0.9405563566043134,-0.5405563566043133,0.5405563566043133,0.2922011746653296,0.06689855344038964
Aluksne,RIAL99MS,Decembris,-3.0,-2.97065360768437,0.029346392315630077,0.029346392315630077,0.000861210741942872,0.05247790915855277
Bauska,RIBA99PA,Decembris,-1.2,-1.631155200750572,-0.4311552007505721,0.4311552007505721,0.18589480713426615,0.0702043994744388
Dagda,RIDAGDA,Decembris,-2.9,-2.877778289942239,0.02222171005776108,0.02222171005776108,0.0004938043978911999,0.10672081595034855
Daugavpils,RIDM99MS,Decembris,-2.2,-2.0746220396704853,0.12537796032951487,0.12537796032951487,0.015719632936389404,0.07457254703708083
Dobele,RIDO99MS,Decembris,-0.8,-0.5353433693620708,0.2646566306379292,0.2646566306379292,0.07004313214062129,0.02258535623527913
Riga,RIGASLU,Decembris,-0.3,-1.1935338021534938,-0.8935338021534938,0.8935338021534938,0.798402655590879,0.06313353543415778
Gulbene,RIGU99MS,Decembris,-2.6,-2.604082715101585,-0.004082715101584977,0.004082715101584977,1.666856260071003e-05,0.028820694285458526
Jelgava,RIJE99PA,Decembris,-0.9,-0.8323808527634919,0.06761914723650808,0.06761914723650808,0.004572349072992559,0.019101858378350656
Kolka,RIKO99PA,Decembris,1.0,1.7279193165640947,0.7279193165640947,0.7279193165640947,0.5298665314271387,0.047933693818724254
Liepaja,RILP99PA,Decembris,1.1,0.9515239089674675,-0.14847609103253256,0.14847609103253256,0.022045149608300896,0.018144212621313383
Madona,RIMADONA,Decembris,-2.5,-2.52758823451644,-0.027588234516440213,0.027588234516440213,0.0007611106837341031,0.005666885189790971
Mersrags,RIME99MS,Decembris,0.0,-0.481254820827135,-0.481254820827135,0.481254820827135,0.23160620256935782,0.025990349926268586
Pavilosta,RIPA99PA,Decembris,1.0,1.0396007259535798,0.039600725953579774,0.039600725953579774,0.0015682174960505266,0.035392386605282544
Priekuli,RIPR99PA,Decembris,-1.8,-2.051611465598393,-0.251611465598393,0.251611465598393,0.0633083296205713,0.0063308868120135475
Rezekne,RIREZEKN,Decembris,-2.7,-2.7797569486538856,-0.07975694865388538,0.07975694865388538,0.00636117085857851,0.08178727935542218
Rujiena,RIRU99PA,Decembris,-1.9,-0.9718114460106085,0.9281885539893914,0.9281885539893914,0.8615339917569173,0.07713407442630693
Saldus,RISA99PA,Decembris,-1.0,-1.4905059557416835,-0.49050595574168354,0.49050595574168354,0.24059609261806242,0.08156279861703952
Skulte,RISE99MS,Decembris,-0.6,-0.215722611077304,0.384277388922696,0.384277388922696,0.14766911163724494,0.010430678974091112
Skriveri,RISI99PA,Decembris,-1.8,-1.3890116242375097,0.41098837576249037,0.41098837576249037,0.16891144501188998,0.023326967698545698
Stende,RIST99PA,Decembris,-0.8,-0.29607678198173026,0.5039232180182698,0.5039232180182698,0.25393860965788867,0.0022255256352559094
Ventspils,RIVE99PA,Decembris,1.3,0.9612993336278339,-0.3387006663721661,0.3387006663721661,0.11471814140094938,0.03886728530915162
Zilani,RIZI99PA,Decembris,-2.1,-2.3397941920156504,-0.23979419201565033,0.23979419201565033,0.057501254524438584,0.025029230229158594
Zoseni,RIZO99MS,Decembris,-2.6,-2.5851237569309515,0.014876243069048556,0.014876243069048556,0.0002213026078494152,0.08413026220681674
Rucava,RUCAVA,Decembris,0.6,1.0242164305212744,0.42421643052127445,0.42421643052127445,0.17995957992421127,0.09011105171874734
