station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Februāris,-3.3,-2.8279263132563894,0.4720736867436104,0.4720736867436104,0.2228535657157044,0.061620843822459026
Aluksne,RIAL99MS,Februāris,-5.1,-5.360818114173673,-0.2608181141736736,0.2608181141736736,0.06802608868111144,0.03104119031251784
Bauska,RIBA99PA,Februāris,-2.9,-3.409142058710477,-0.5091420587104771,0.5091420587104771,0.25922563594794296,0.037926742946157166
Dagda,RIDAGDA,Februāris,-4.7,-4.648766669309825,0.05123333069017555,0.05123333069017555,0.002624854173608884,0.07264445297350042
Daugavpils,RIDM99MS,Februāris,-4.1,-4.196368641623813,-0.09636864162381364,0.09636864162381364,0.009286915088419027,0.05128175962702519
Dobele,RIDO99MS,Februāris,-2.7,-2.127072086443809,0.5729279135561911,0.5729279135561911,0.32824639413185036,0.006704783223310251
Riga,RIGASLU,Februāris,-2.0,-3.1162519772111765,-1.1162519772111765,1.1162519772111765,1.246018476627861,0.08026643881500828
Gulbene,RIGU99MS,Februāris,-4.6,-4.359186466849618,0.2408135331503818,0.2408135331503818,0.05799115774837003,0.011018071116029926
Jelgava,RIJE99PA,Februāris,-2.7,-2.77629855596791,-0.07629855596790991,0.07629855596790991,0.005821469642788281,0.013057379644918932
Kolka,RIKO99PA,Februāris,-1.6,-1.635933051657012,-0.035933051657011994,0.035933051657011994,0.0012911842013854924,0.05077817722174638
Liepaja,RILP99PA,Februāris,-1.1,-1.3123835339644518,-0.21238353396445175,0.21238353396445175,0.04510676549922943,0.011273880080372667
Madona,RIMADONA,Februāris,-4.5,-4.452439469089872,0.04756053091012813,0.04756053091012813,0.002262004100453253,0.011378916517655213
Mersrags,RIME99MS,Februāris,-2.1,-2.8311761266559015,-0.7311761266559014,0.7311761266559014,0.5346185281915268,0.01614284135204025
Pavilosta,RIPA99PA,Februāris,-1.2,-1.2595641384828633,-0.05956413848286335,0.05956413848286335,0.0035478865932057225,0.030510513889382196
Priekuli,RIPR99PA,Februāris,-3.8,-4.301025134489036,-0.5010251344890362,0.5010251344890362,0.2510261853897568,0.0014057662638320423
Rezekne,RIREZEKN,Februāris,-4.6,-5.144552300087872,-0.5445523000878723,0.5445523000878723,0.29653720753099205,0.04045102879501683
Rujiena,RIRU99PA,Februāris,-4.2,-2.743943781579252,1.4560562184207484,1.4560562184207484,2.12009971120173,0.08160121681865995
Saldus,RISA99PA,Februāris,-2.7,-3.3299234204791817,-0.6299234204791815,0.6299234204791815,0.39680351566819166,0.04012297234860962
Skulte,RISE99MS,Februāris,-2.9,-2.3150896792677673,0.5849103207322326,0.5849103207322326,0.3421200832990832,0.002322948921133383
Skriveri,RISI99PA,Februāris,-3.6,-3.6174822690898694,-0.017482269089869273,0.017482269089869273,0.00030562973253059865,0.003656430441010494
Stende,RIST99PA,Februāris,-2.7,-1.9323114072822172,0.767688592717783,0.767688592717783,0.5893457753890101,0.001252849019616864
Ventspils,RIVE99PA,Februāris,-1.1,-1.4212063776358235,-0.3212063776358234,0.3212063776358234,0.10317353703392718,0.020811495945554315
Zilani,RIZI99PA,Februāris,-4.0,-4.151631628084172,-0.1516316280841723,0.1516316280841723,0.02299215063545675,0.008783177361067596
Zoseni,RIZO99MS,Februāris,-4.7,-4.511983751080121,0.18801624891987956,0.18801624891987956,0.03535010985790211,0.0537396662571592
Rucava,RUCAVA,Februāris,-1.5,-1.2268573110350247,0.2731426889649753,0.2731426889649753,0.07460692853501723,0.09093392007685974
