station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Janvāris,-2.6,-2.1658079342761134,0.4341920657238867,0.4341920657238867,0.18852274993757595,0.07942021448741543
Aluksne,RIAL99MS,Janvāris,-4.9,-4.956760881512353,-0.05676088151235259,0.05676088151235259,0.00322179767005933,0.02931353590342467
Bauska,RIBA99PA,Janvāris,-3.0,-3.439442366898414,-0.439442366898414,0.439442366898414,0.19310959382528028,0.038904462658065686
Dagda,RIDAGDA,Janvāris,-4.8,-4.611689793229129,0.18831020677087107,0.18831020677087107,0.035460733974088214,0.10083608013036938
Daugavpils,RIDM99MS,Janvāris,-4.1,-4.087060374428919,0.012939625571080526,0.012939625571080526,0.00016743390991976105,0.08185732021065961
Dobele,RIDO99MS,Janvāris,-2.6,-2.3748876115800397,0.2251123884199604,0.2251123884199604,0.05067558742013912,0.01913223431068145
Riga,RIGASLU,Janvāris,-2.1,-3.0543834305094237,-0.9543834305094236,0.9543834305094236,0.9108477324309359,0.08803262865634953
Gulbene,RIGU99MS,Janvāris,-4.5,-4.408856441753847,0.09114355824615306,0.09114355824615306,0.008307148209769894,0.013169087572242333
Jelgava,RIJE99PA,Janvāris,-2.7,-2.720209807081393,-0.02020980708139275,0.02020980708139275,0.0004084363022671125,0.010822233499601541
Kolka,RIKO99PA,Janvāris,-0.8,-1.3516067570741497,-0.5516067570741496,0.5516067570741496,0.3042700144498599,0.08459922447707968
Liepaja,RILP99PA,Janvāris,-0.9,-1.073485290350753,-0.173485290350753,0.173485290350753,0.03009714596808507,0.025604680572231864
Madona,RIMADONA,Janvāris,-4.5,-4.334172646843584,0.16582735315641628,0.16582735315641628,0.027498711054862804,0.019934705880829462
Mersrags,RIME99MS,Janvāris,-1.6,-2.362256688117784,-0.7622566881177839,0.7622566881177839,0.5810352585802925,0.017500112292673897
Pavilosta,RIPA99PA,Janvāris,-0.9,-0.8280798647813137,0.07192013521868634,0.07192013521868634,0.005172505849874128,0.043198639454514076
Priekuli,RIPR99PA,Janvāris,-3.7,-4.120646077382869,-0.42064607738286863,0.42064607738286863,0.1769431224175943,0.0020309909425322292
Rezekne,RIREZEKN,Janvāris,-4.6,-5.344806181674118,-0.744806181674118,0.744806181674118,0.5547362482599794,0.04259394508315717
Rujiena,RIRU99PA,Janvāris,-3.8,-2.6352554889192454,1.1647445110807544,1.1647445110807544,1.3566297760927455,0.05442531800668937
Saldus,RISA99PA,Janvāris,-2.6,-3.176309283825181,-0.5763092838251809,0.5763092838251809,0.3321323906230929,0.06891661574392982
Skulte,RISE99MS,Janvāris,-2.6,-2.0718688273123393,0.5281311726876607,0.5281311726876607,0.27892253556444374,0.0028902223120219617
Skriveri,RISI99PA,Janvāris,-3.6,-3.4517790804530497,0.14822091954695038,0.14822091954695038,0.02196944099134354,0.010575839189186587
Stende,RIST99PA,Janvāris,-2.5,-1.6574766322912582,0.8425233677087418,0.8425233677087418,0.7098456251352797,0.00038079963218828894
Ventspils,RIVE99PA,Janvāris,-0.5,-0.7716483802471598,-0.27164838024715976,0.27164838024715976,0.0737928424909055,0.05068496271183465
Zilani,RIZI99PA,Janvāris,-4.0,-4.162811643196863,-0.16281164319686336,0.16281164319686336,0.026507631160462744,0.010933092342172435
Zoseni,RIZO99MS,Janvāris,-4.5,-4.502778918232165,-0.0027789182321651396,0.0027789182321651396,7.722386541059824e-06,0.08776932528923309
Rucava,RUCAVA,Janvāris,-1.4,-0.980434780159102,0.4195652198408979,0.4195652198408979,0.17603497370014098,0.10578024363445371
