station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Jūlijs,17.7,18.122033874584222,0.4220338745842227,0.4220338745842227,0.17811259129657142,0.3340939900198885
Aluksne,RIAL99MS,Jūlijs,17.4,17.326842307940105,-0.07315769205989398,0.07315769205989398,0.0053520479075302736,0.29121812482199405
Bauska,RIBA99PA,Jūlijs,18.3,18.25586108380375,-0.04413891619624977,0.04413891619624977,0.00194824392297956,0.261330563949987
Dagda,RIDAGDA,Jūlijs,17.8,17.686706126887998,-0.11329387311200279,0.11329387311200279,0.012835501684718588,0.3488181273984581
Daugavpils,RIDM99MS,Jūlijs,18.1,18.24057924759129,0.14057924759128682,0.14057924759128682,0.01976252485333232,0.35321106640683037
Dobele,RIDO99MS,Jūlijs,18.1,17.70556324150788,-0.3944367584921231,0.3944367584921231,0.15558035644977347,0.13013620646443197
Riga,RIGASLU,Jūlijs,19.3,18.17237932859086,-1.1276206714091401,1.1276206714091401,1.2715283785892,0.1325763412242167
Gulbene,RIGU99MS,Jūlijs,17.8,17.7684386947884,-0.031561305211599944,0.031561305211599944,0.0009961159866597657,0.237071015076866
Jelgava,RIJE99PA,Jūlijs,17.9,18.584823336291457,0.6848233362914584,0.6848233362914584,0.46898300192936393,0.05447007976486509
Kolka,RIKO99PA,Jūlijs,17.5,17.334077445318346,-0.16592255468165362,0.16592255468165362,0.027530294152086337,0.34524417243028865
Liepaja,RILP99PA,Jūlijs,17.9,17.64153459736513,-0.2584654026348687,0.2584654026348687,0.06680436435920481,0.28943095056492885
Madona,RIMADONA,Jūlijs,17.6,17.70755292682842,0.10755292682841855,0.10755292682841855,0.011567632069359155,0.22655267450574962
Mersrags,RIME99MS,Jūlijs,17.6,17.82059788385728,0.22059788385727686,0.22059788385727686,0.04866342636230861,0.24746506810279367
Pavilosta,RIPA99PA,Jūlijs,17.3,17.48280283362241,0.1828028336224108,0.1828028336224108,0.0334168759803828,0.28398261991858725
Priekuli,RIPR99PA,Jūlijs,17.7,17.68688578248021,-0.013114217519788696,0.013114217519788696,0.00017198270115633278,0.2334816486850048
Rezekne,RIREZEKN,Jūlijs,17.8,17.82749468457995,0.02749468457994908,0.02749468457994908,0.0007559576801508897,0.28840383211831055
Rujiena,RIRU99PA,Jūlijs,17.8,17.90865161588339,0.10865161588338879,0.10865161588338879,0.011805173634071462,0.34186390471552836
Saldus,RISA99PA,Jūlijs,17.6,17.438773915509813,-0.16122608449018827,0.16122608449018827,0.025993850320037325,0.3125345823678858
Skulte,RISE99MS,Jūlijs,18.1,18.680738905885857,0.5807389058858554,0.5807389058858554,0.3372576768095004,0.16692647976985825
Skriveri,RISI99PA,Jūlijs,18.0,18.208897788748892,0.2088977887488923,0.2088977887488923,0.043638286144176835,0.2623387089655376
Stende,RIST99PA,Jūlijs,17.3,17.36116196180634,0.06116196180633793,0.06116196180633793,0.0037407855719999395,0.2577486794244535
Ventspils,RIVE99PA,Jūlijs,17.8,17.21767117997852,-0.5823288200214805,0.5823288200214805,0.33910685462760976,0.31416795869276326
Zilani,RIZI99PA,Jūlijs,18.1,18.089358419262684,-0.010641580737317469,0.010641580737317469,0.0001132432405888462,0.24076036176754087
Zoseni,RIZO99MS,Jūlijs,17.0,17.357819148832426,0.3578191488324265,0.3578191488324265,0.12803454327116218,0.2855017138120802
Rucava,RUCAVA,Jūlijs,17.7,17.93780632943172,0.2378063294317201,0.2378063294317201,0.056551850317787776,0.3741004143336396
