station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Jūnijs,14.8,15.198876268834368,0.39887626883436766,0.39887626883436766,0.15910227783922676,0.3215647798895907
Aluksne,RIAL99MS,Jūnijs,15.0,15.03878698853802,0.03878698853801943,0.03878698853801943,0.0015044304798484506,0.2513873995408826
Bauska,RIBA99PA,Jūnijs,15.8,15.559572575169426,-0.24042742483057467,0.24042742483057467,0.05780534661066163,0.2021410135615634
Dagda,RIDAGDA,Jūnijs,15.5,15.348640481801977,-0.1513595181980225,0.1513595181980225,0.02290970374913751,0.29852577205057246
Daugavpils,RIDM99MS,Jūnijs,15.8,16.021122341111646,0.22112234111164497,0.22112234111164497,0.04889508973869468,0.33626073140048124
Dobele,RIDO99MS,Jūnijs,15.6,15.334420248582463,-0.26557975141753687,0.26557975141753687,0.07053260436300067,0.09056482308198982
Riga,RIGASLU,Jūnijs,16.7,15.817314250973173,-0.8826857490268267,0.8826857490268267,0.7791341315350502,0.07240145159799494
Gulbene,RIGU99MS,Jūnijs,15.4,15.265291808050916,-0.134708191949084,0.134708191949084,0.018146296978191263,0.1510017272725035
Jelgava,RIJE99PA,Jūnijs,15.5,15.989528426467457,0.48952842646745687,0.48952842646745687,0.23963808031970432,0.039073154312529335
Kolka,RIKO99PA,Jūnijs,14.3,14.127076024612084,-0.17292397538791704,0.17292397538791704,0.029902701263960937,0.3572457915884596
Liepaja,RILP99PA,Jūnijs,14.8,14.766458302761329,-0.03354169723867173,0.03354169723867173,0.0011250454536507189,0.14037746015997682
Madona,RIMADONA,Jūnijs,15.3,15.26893481431069,-0.031065185689310937,0.031065185689310937,0.000965045761911369,0.12702912806125838
Mersrags,RIME99MS,Jūnijs,14.8,14.869762600626148,0.06976260062614692,0.06976260062614692,0.004866820446123275,0.14509207415393605
Pavilosta,RIPA99PA,Jūnijs,14.3,14.219965554433081,-0.08003444556691974,0.08003444556691974,0.006405512477204239,0.23386207155337152
Priekuli,RIPR99PA,Jūnijs,15.3,14.892901545868089,-0.40709845413191204,0.40709845413191204,0.1657291513565925,0.14828835712493038
Rezekne,RIREZEKN,Jūnijs,15.5,15.630441611481148,0.13044161148114775,0.13044161148114775,0.017015014005798697,0.2831865281964323
Rujiena,RIRU99PA,Jūnijs,15.3,15.49211821160755,0.19211821160754994,0.19211821160754994,0.03690940723128334,0.30978299837765355
Saldus,RISA99PA,Jūnijs,15.0,14.917986959967147,-0.08201304003285337,0.08201304003285337,0.006726138735430409,0.2539197167340165
Skulte,RISE99MS,Jūnijs,15.2,15.962747573739998,0.7627475737399987,0.7627475737399987,0.5817838612462547,0.09372843204556464
Skriveri,RISI99PA,Jūnijs,15.6,15.971351662103356,0.3713516621033559,0.3713516621033559,0.137902056946925,0.2218804135572602
Stende,RIST99PA,Jūnijs,14.7,14.548639451426219,-0.15136054857378056,0.15136054857378056,0.022910015664555784,0.22808765254789498
Ventspils,RIVE99PA,Jūnijs,14.5,14.078570231878167,-0.42142976812183264,0.42142976812183264,0.17760304945922162,0.3062957696681821
Zilani,RIZI99PA,Jūnijs,15.7,15.608153797390957,-0.09184620260904275,0.09184620260904275,0.00843572493370133,0.1591003512819671
Zoseni,RIZO99MS,Jūnijs,14.6,15.119139311314393,0.5191393113143938,0.5191393113143938,0.2695056245519831,0.15358444977086927
Rucava,RUCAVA,Jūnijs,14.9,14.992978302522577,0.09297830252257633,0.09297830252257633,0.008644964739979723,0.2554066883925259
