station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Maijs,10.6,10.792754500223985,0.19275450022398566,0.19275450022398566,0.03715429735659849,0.3879768590710284
Aluksne,RIAL99MS,Maijs,11.3,11.643881216169937,0.3438812161699367,0.3438812161699367,0.11825429083451475,0.31277686147125
Bauska,RIBA99PA,Maijs,12.3,12.236156325449336,-0.06384367455066453,0.06384367455066453,0.00407601478013117,0.24948870119906918
Dagda,RIDAGDA,Maijs,12.0,11.780367723922431,-0.21963227607756863,0.21963227607756863,0.048238336695013324,0.3639065653597562
Daugavpils,RIDM99MS,Maijs,12.2,12.692412698097273,0.49241269809727406,0.49241269809727406,0.24247026524743717,0.4042252722083455
Dobele,RIDO99MS,Maijs,12.0,12.185053897787547,0.18505389778754733,0.18505389778754733,0.03424494508636401,0.12159621955156857
Riga,RIGASLU,Maijs,13.0,12.263943504298021,-0.7360564957019786,0.7360564957019786,0.5417791648650768,0.1193243152297353
Gulbene,RIGU99MS,Maijs,11.8,11.327119440054092,-0.4728805599459083,0.4728805599459083,0.22361602397475575,0.16833245436444805
Jelgava,RIJE99PA,Maijs,12.0,12.139656206260675,0.13965620626067476,0.13965620626067476,0.019503855947124133,0.07073352559184964
Kolka,RIKO99PA,Maijs,9.6,9.646907750769365,0.04690775076936582,0.04690775076936582,0.0022003370822409394,0.5127982666294228
Liepaja,RILP99PA,Maijs,11.2,10.980511030064774,-0.2194889699352256,0.2194889699352256,0.04817540792322637,0.14011178793688772
Madona,RIMADONA,Maijs,11.5,11.643896198896696,0.14389619889669625,0.14389619889669625,0.020706116056917568,0.08977980456723555
Mersrags,RIME99MS,Maijs,10.5,10.719991002988825,0.21999100298882546,0.21999100298882546,0.04839604139602941,0.1294375452422024
Pavilosta,RIPA99PA,Maijs,10.3,10.467936450069157,0.16793645006915625,0.16793645006915625,0.02820265126183021,0.1988359779979637
Priekuli,RIPR99PA,Maijs,11.7,11.050604933733712,-0.6493950662662868,0.6493950662662868,0.4217139520909951,0.12806517678268203
Rezekne,RIREZEKN,Maijs,12.0,12.236919781063946,0.2369197810639463,0.2369197810639463,0.05613098265938824,0.327763843540003
Rujiena,RIRU99PA,Maijs,11.5,11.814384339096465,0.3143843390964651,0.3143843390964651,0.09883751266912118,0.3894063714775227
Saldus,RISA99PA,Maijs,11.5,11.141514901466257,-0.3584850985337429,0.3584850985337429,0.12851156587074736,0.2821433674668843
Skulte,RISE99MS,Maijs,11.1,11.872277174497428,0.7722771744974288,0.7722771744974288,0.5964120342497321,0.06547037749019757
Skriveri,RISI99PA,Maijs,12.1,12.481354105833082,0.3813541058330827,0.3813541058330827,0.14543095403575004,0.2914814527381563
Stende,RIST99PA,Maijs,11.1,10.863972548352525,-0.23602745164747496,0.23602745164747496,0.055708957931201133,0.12564047662426603
Ventspils,RIVE99PA,Maijs,10.4,9.98188408896019,-0.41811591103981094,0.41811591103981094,0.17482091506465108,0.34916773182174216
Zilani,RIZI99PA,Maijs,12.1,11.739742707374337,-0.3602572926256631,0.3602572926256631,0.12978531688997264,0.15112316837536155
Zoseni,RIZO99MS,Maijs,10.9,11.617067480999241,0.7170674809992406,0.7170674809992406,0.5141857723065962,0.16229399432055414
Rucava,RUCAVA,Maijs,11.2,11.411566451198336,0.21156645119833684,0.21156645119833684,0.04476036327265824,0.3056571063396004
