station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Marts,-0.3,-0.1902672272167208,0.1097327727832792,0.1097327727832792,0.01204128142270678,0.20458257293164447
Aluksne,RIAL99MS,Marts,-1.0,-0.9272478568830584,0.07275214311694156,0.07275214311694156,0.005292874328107947,0.142385348981543
Bauska,RIBA99PA,Marts,0.7,0.27850464209255,-0.42149535790744996,0.42149535790744996,0.17765833673752934,0.11877098612976195
Dagda,RIDAGDA,Marts,-0.5,-0.7221110633833298,-0.22211106338332975,0.22211106338332975,0.049333324477273524,0.18988334979209026
Daugavpils,RIDM99MS,Marts,0.0,0.37477937341695833,0.37477937341695833,0.37477937341695833,0.14045957873880788,0.22357190676090208
Dobele,RIDO99MS,Marts,0.7,0.8536015978252333,0.1536015978252333,0.1536015978252333,0.023593450854464716,0.03968742424106414
Riga,RIGASLU,Marts,1.5,0.422698320419859,-1.077301679580141,1.077301679580141,1.1605789088261926,0.07150852578816985
Gulbene,RIGU99MS,Marts,-0.5,-0.5492339068740021,-0.04923390687400209,0.04923390687400209,0.00242397758607791,0.06283474216839496
Jelgava,RIJE99PA,Marts,0.7,1.18079820081523,0.48079820081523006,0.48079820081523006,0.2311669099071623,0.031532531633899685
Kolka,RIKO99PA,Marts,0.5,0.1309568866136516,-0.36904311338634843,0.36904311338634843,0.13619281953788923,0.21344888318601637
Liepaja,RILP99PA,Marts,1.3,1.2582862975348479,-0.04171370246515216,0.04171370246515216,0.0017400329733512413,0.07094310154101063
Madona,RIMADONA,Marts,-0.5,-0.6172247904433186,-0.11722479044331857,0.11722479044331857,0.013741651494479952,0.03784484606557076
Mersrags,RIME99MS,Marts,0.5,0.12105836996058805,-0.37894163003941195,0.37894163003941195,0.14359675897692656,0.0735727649525057
Pavilosta,RIPA99PA,Marts,1.2,1.0858701160011486,-0.11412988399885138,0.11412988399885138,0.013025630421591272,0.09667366356079721
Priekuli,RIPR99PA,Marts,-0.1,-0.6940912886047208,-0.5940912886047208,0.5940912886047208,0.3529444591960177,0.040960401914442834
Rezekne,RIREZEKN,Marts,-0.4,-0.020303745183783084,0.37969625481621694,0.37969625481621694,0.14416924592146155,0.16007993146446525
Rujiena,RIRU99PA,Marts,-0.4,0.4056194455686395,0.8056194455686395,0.8056194455686395,0.6490226910783221,0.2322205132128392
Saldus,RISA99PA,Marts,0.4,-0.2916141393876173,-0.6916141393876174,0.6916141393876174,0.47833011780087464,0.11620145528028625
Skulte,RISE99MS,Marts,0.3,1.1410321686897569,0.8410321686897568,0.8410321686897568,0.7073351087709956,0.03260998343591315
Skriveri,RISI99PA,Marts,0.2,0.7371825545134397,0.5371825545134397,0.5371825545134397,0.28856509687358456,0.07346653051117558
Stende,RIST99PA,Marts,0.1,0.615688532753763,0.515688532753763,0.515688532753763,0.2659346628137289,0.0613033105080798
Ventspils,RIVE99PA,Marts,1.3,0.671843380175485,-0.6281566198245151,0.6281566198245151,0.3945807390293604,0.12331850649704656
Zilani,RIZI99PA,Marts,-0.1,-0.21313671706170706,-0.11313671706170705,0.11313671706170705,0.012799916747500755,0.06410503380997373
Zoseni,RIZO99MS,Marts,-1.0,-0.46248980989728483,0.5375101901027152,0.5375101901027152,0.288917204464257,0.06442069928916339
Rucava,RUCAVA,Marts,1.1,1.2468652996712604,0.14686529967126027,0.14686529967126027,0.02156941624752908,0.14230368115290037
