station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Novembris,2.6,2.9197359660852062,0.31973596608520616,0.31973596608520616,0.10223108800844011,0.06634220740585706
Aluksne,RIAL99MS,Novembris,0.4,0.5201209282640591,0.12012092826405907,0.12012092826405907,0.014429037407019224,0.026932099122047415
Bauska,RIBA99PA,Novembris,2.3,1.9108292280760066,-0.3891707719239932,0.3891707719239932,0.15145388971991672,0.03917490791144451
Dagda,RIDAGDA,Novembris,0.7,0.7724147177971157,0.07241471779711572,0.07241471779711572,0.005243891353635908,0.060100736569331126
Daugavpils,RIDM99MS,Novembris,1.5,1.4384658249130415,-0.061534175086958465,0.061534175086958465,0.00378645470363246,0.039341994020952065
Dobele,RIDO99MS,Novembris,2.5,2.7846868277990766,0.2846868277990766,0.2846868277990766,0.0810465899223011,0.010688510040775312
Riga,RIGASLU,Novembris,3.0,2.323856325334726,-0.676143674665274,0.676143674665274,0.45717026878985995,0.07931757265497175
Gulbene,RIGU99MS,Novembris,0.8,0.7822267179357248,-0.017773282064275198,0.017773282064275198,0.0003158895553362864,0.015946235951882826
Jelgava,RIJE99PA,Novembris,2.5,2.5058596785253933,0.005859678525393264,0.005859678525393264,3.4335832420954977e-05,0.010994004323627737
Kolka,RIKO99PA,Novembris,3.9,3.7732080453403127,-0.12679195465968718,0.12679195465968718,0.01607619976642417,0.05807747669625907
Liepaja,RILP99PA,Novembris,4.1,3.739590006525317,-0.3604099934746827,0.3604099934746827,0.12989536339642085,0.008866405522790055
Madona,RIMADONA,Novembris,0.9,0.9925108781398899,0.0925108781398899,0.0925108781398899,0.008558262574213557,0.014974068050570333
Mersrags,RIME99MS,Novembris,3.2,2.7742579791043944,-0.42574202089560576,0.42574202089560576,0.1812562683562744,0.013029695334925262
Pavilosta,RIPA99PA,Novembris,3.9,4.076969960427384,0.176969960427384,0.176969960427384,0.03131836689366986,0.034599515600813424
Priekuli,RIPR99PA,Novembris,1.5,1.3675669016033705,-0.13243309839662953,0.13243309839662953,0.01753852555093136,0.001149178654374694
Rezekne,RIREZEKN,Novembris,0.8,0.5788402945950557,-0.22115970540494434,0.22115970540494434,0.048911615294801765,0.03628364383726934
Rujiena,RIRU99PA,Novembris,1.4,2.0141654551185177,0.6141654551185178,0.6141654551185178,0.37719920626093617,0.043887488941261044
Saldus,RISA99PA,Novembris,2.4,1.8893710820695835,-0.5106289179304164,0.5106289179304164,0.260741891826788,0.05965208437712066
Skulte,RISE99MS,Novembris,2.7,2.9387341117428836,0.2387341117428834,0.2387341117428834,0.05699397610966354,0.0030888853526060966
Skriveri,RISI99PA,Novembris,1.7,1.7977997207569796,0.09779972075697962,0.09779972075697962,0.00956478538014319,0.006343629266105211
Stende,RIST99PA,Novembris,2.5,2.9209636853622634,0.42096368536226336,0.42096368536226336,0.17721042439377865,0.0008242038156813791
Ventspils,RIVE99PA,Novembris,4.2,3.9182730710089015,-0.28172692899109864,0.28172692899109864,0.07937006251875553,0.049485257525124116
Zilani,RIZI99PA,Novembris,1.4,1.2301691311343819,-0.16983086886561805,0.16983086886561805,0.02884252401965075,0.010463534465398161
Zoseni,RIZO99MS,Novembris,0.8,0.772899282531081,-0.027100717468919067,0.027100717468919067,0.0007344488873301751,0.07333121661545872
Rucava,RUCAVA,Novembris,3.7,4.112156440036826,0.41215644003682606,0.41215644003682606,0.16987293106382978,0.09311782358937504
