station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Oktobris,7.1,7.0817669825931135,-0.0182330174068861,0.0182330174068861,0.00033244292375981144,0.11161889169504235
Aluksne,RIAL99MS,Oktobris,5.3,5.544415799878784,0.2444157998787846,0.2444157998787846,0.05973908323038608,0.06978642830578885
Bauska,RIBA99PA,Oktobris,6.9,6.348362260688225,-0.5516377393117757,0.5516377393117757,0.30430419543300663,0.08477014891619061
Dagda,RIDAGDA,Oktobris,5.9,5.649051355656979,-0.2509486443430218,0.2509486443430218,0.06297522209760044,0.11954790634093149
Daugavpils,RIDM99MS,Oktobris,6.3,6.859786437136667,0.5597864371366672,0.5597864371366672,0.31336085520216383,0.12491015641868908
Dobele,RIDO99MS,Oktobris,7.0,7.1268885466517755,0.1268885466517755,0.1268885466517755,0.01610070327139981,0.025672306856713956
Riga,RIGASLU,Oktobris,7.5,6.830391170885477,-0.669608829114523,0.669608829114523,0.4483759840281225,0.07566716450945632
Gulbene,RIGU99MS,Oktobris,5.6,5.494077152530134,-0.10592284746986547,0.10592284746986547,0.011219649616124386,0.041052299227391065
Jelgava,RIJE99PA,Oktobris,6.9,7.144132874845209,0.2441328748452083,0.2441328748452083,0.059600860580186134,0.022741391574617076
Kolka,RIKO99PA,Oktobris,8.1,8.353725110757065,0.25372511075706505,0.25372511075706505,0.06437643182868492,0.08693250051304757
Liepaja,RILP99PA,Oktobris,8.5,8.172113328398694,-0.3278866716013056,0.3278866716013056,0.10750966941378241,0.023017370206501964
Madona,RIMADONA,Oktobris,5.6,5.67662876348902,0.07662876348901992,0.07662876348901992,0.005871967393856153,0.01859812142334094
Mersrags,RIME99MS,Oktobris,7.4,7.030541237176857,-0.36945876282314316,0.36945876282314316,0.13649977742680755,0.03200322805647393
Pavilosta,RIPA99PA,Oktobris,8.2,8.505624972290308,0.3056249722903086,0.3056249722903086,0.09340662368745191,0.04601770150616302
Priekuli,RIPR99PA,Oktobris,6.2,6.059796335000218,-0.14020366499978199,0.14020366499978199,0.01965706767937109,0.01048876814575428
Rezekne,RIREZEKN,Oktobris,5.8,5.985692164451998,0.1856921644519982,0.1856921644519982,0.03448157993886795,0.08822054188564254
Rujiena,RIRU99PA,Oktobris,6.0,6.725207073635385,0.7252070736353851,0.7252070736353851,0.5259252996507988,0.10572630031957908
Saldus,RISA99PA,Oktobris,6.8,6.190163718119352,-0.6098362818806482,0.6098362818806482,0.3719002906980134,0.08511037374255392
Skulte,RISE99MS,Oktobris,7.3,7.548037512906065,0.24803751290606524,0.24803751290606524,0.06152260780862648,0.01443100403598907
Skriveri,RISI99PA,Oktobris,6.3,6.66275315592836,0.36275315592836055,0.36275315592836055,0.13158985213598545,0.02378927877549475
Stende,RIST99PA,Oktobris,6.8,7.24073071569943,0.4407307156994298,0.4407307156994298,0.1942435637609316,0.006547975540504569
Ventspils,RIVE99PA,Oktobris,8.6,8.010766911977077,-0.5892330880229224,0.5892330880229224,0.34719563202102904,0.06549809858709765
Zilani,RIZI99PA,Oktobris,6.1,5.7951638195646105,-0.3048361804353892,0.3048361804353892,0.09292509690243715,0.03280421403255762
Zoseni,RIZO99MS,Oktobris,5.4,5.433916573243389,0.03391657324338837,0.03391657324338837,0.0011503339405741278,0.06920859743480634
Rucava,RUCAVA,Oktobris,8.0,8.649692725183641,0.6496927251836411,0.6496927251836411,0.42210063715654617,0.09583666963482751
