station,id,month,true,pred,error,abs_error,error_squared,variance
Ainazi,RIAI99PA,Septembris,12.6,12.685228442360584,0.08522844236058447,0.08522844236058447,0.007263887387211469,0.3375990230643379
Aluksne,RIAL99MS,Septembris,11.1,11.22656452389802,0.1265645238980202,0.1265645238980202,0.016018578709532525,0.2608478923701025
Bauska,RIBA99PA,Septembris,12.6,11.92623116880109,-0.6737688311989096,0.6737688311989096,0.4539644378951448,0.20572203595796748
Dagda,RIDAGDA,Septembris,11.7,11.202637268168708,-0.4973627318312914,0.4973627318312914,0.24736968701468512,0.27041954510517274
Daugavpils,RIDM99MS,Septembris,11.9,12.301162230028664,0.4011622300286639,0.4011622300286639,0.16093113480157065,0.34776966432255413
Dobele,RIDO99MS,Septembris,12.6,12.113374113802536,-0.48662588619746394,0.48662588619746394,0.23680475311746713,0.06012507614005014
Riga,RIGASLU,Septembris,13.4,12.267492139031802,-1.1325078609681984,1.1325078609681984,1.2825740551547642,0.12541870619552128
Gulbene,RIGU99MS,Septembris,11.4,11.35105897324907,-0.048941026750929595,0.048941026750929595,0.002395224099435206,0.1510383244999131
Jelgava,RIJE99PA,Septembris,12.3,13.0729472903768,0.7729472903767984,0.7729472903767984,0.5974475137008347,0.03964895147988107
Kolka,RIKO99PA,Septembris,13.2,12.606208444918243,-0.5937915550817561,0.5937915550817561,0.35258841088641013,0.32683149706683
Liepaja,RILP99PA,Septembris,13.6,13.207845091418491,-0.39215490858150837,0.39215490858150837,0.15378547232457118,0.11263935721031221
Madona,RIMADONA,Septembris,11.3,11.40351241216724,0.10351241216723928,0.10351241216723928,0.010714819472680426,0.09711018222443457
Mersrags,RIME99MS,Septembris,12.7,12.610351572461452,-0.08964842753854718,0.08964842753854718,0.008036840560134144,0.14824132562570286
Pavilosta,RIPA99PA,Septembris,13.2,13.51582447993355,0.3158244799335499,0.3158244799335499,0.09974510212529726,0.17293922124275712
Priekuli,RIPR99PA,Septembris,11.9,11.625440763175233,-0.2745592368247678,0.2745592368247678,0.07538277452579893,0.07772583176052023
Rezekne,RIREZEKN,Septembris,11.5,11.7976066428175,0.2976066428175006,0.2976066428175006,0.08856971384910338,0.2509450304831722
Rujiena,RIRU99PA,Septembris,11.7,12.591123331098226,0.8911233310982265,0.8911233310982265,0.7941007912275995,0.3355482808169584
Saldus,RISA99PA,Septembris,12.1,11.73398952229592,-0.36601047770408,0.36601047770408,0.13396366978916885,0.20860953145451477
Skulte,RISE99MS,Septembris,12.9,13.335174736174935,0.4351747361749343,0.4351747361749343,0.18937705100492366,0.11024385498777595
Skriveri,RISI99PA,Septembris,12.0,12.59858314084697,0.5985831408469693,0.5985831408469693,0.3583017765062227,0.14714058937773689
Stende,RIST99PA,Septembris,12.1,12.506326297651544,0.40632629765154427,0.40632629765154427,0.16510106016321136,0.10524299881651361
Ventspils,RIVE99PA,Septembris,13.8,12.923213728411511,-0.8767862715884895,0.8767862715884895,0.7687541660460445,0.22101295109008004
Zilani,RIZI99PA,Septembris,11.9,11.55164602876294,-0.34835397123706,0.34835397123706,0.12135048927663045,0.13558768096143115
Zoseni,RIZO99MS,Septembris,11.0,11.127247137609487,0.12724713760948703,0.12724713760948703,0.016191834029807728,0.15628853881616406
Rucava,RUCAVA,Septembris,13.1,13.867266518854287,0.7672665188542869,0.7672665188542869,0.5886979109547757,0.2421697843904034
