Month,MAE,RMSE,Bias
Janvāris,0.3771910492029874,0.49178520345392823,-0.03378060728522264
Februāris,0.39672721572477365,0.529878543087642,-0.024373370540285134
Marts,0.3909380970812,0.47812191730671344,0.005482585644674738
Aprīlis,0.2679302921532129,0.32160257760069955,0.030201176545375148
Maijs,0.33200968201105147,0.389014965035952,0.033275058305105534
Jūnijs,0.25731709004483777,0.3390633035813868,0.005631173822894908
Jūlijs,0.2526747365803981,0.36056908130685383,0.01460210645509349
Augusts,0.3727781322987177,0.4615041956304914,-0.0015440361561520888
Septembris,0.4443631347728323,0.52647625415105,-0.01807776006740788
Oktobris,0.3358015261402544,0.39427733527690956,0.020777067947513394
Novembris,0.25026257919534795,0.3104703720219483,-0.021773109590900307
Decembris,0.31480914170984153,0.41225097582157866,0.0006478257604135207
