Month,MAE,RMSE,Bias
Janvāris,0.3771910492029874,0.4917852034539282,-0.0337806072852226
Februāris,0.3967272157247736,0.529878543087642,-0.0243733705402851
Marts,0.3909380970812,0.4781219173067134,0.0054825856446747
Aprīlis,0.2679302921532129,0.3216025776006995,0.0302011765453751
Maijs,0.3320096820110514,0.389014965035952,0.0332750583051055
Jūnijs,0.2573170900448377,0.3390633035813868,0.0056311738228949
Jūlijs,0.2526747365803981,0.3605690813068538,0.0146021064550934
Augusts,0.3727781322987177,0.4615041956304914,-0.001544036156152
Septembris,0.4443631347728323,0.52647625415105,-0.0180777600674078
Oktobris,0.3358015261402544,0.3942773352769095,0.0207770679475133
Novembris,0.2502625791953479,0.3104703720219483,-0.0217731095909003
Decembris,0.3148091417098415,0.4122509758215786,0.0006478257604135
