Stacijas,Nokrisni_mm_lv,lon,lat,elevation,x,y,2020_08_nokrisni_mm
KALNCIEM,639.7,23.61654,56.79878,3.18,476580.11179315,295052.9895303054,66.7
KULDIGA,590.9,21.961111,56.9867,13.17,376108.25623139966,317754.1964832293,31.7
LIELPECI,723.5,24.713889,56.804167,45.15,543594.3257918196,295814.31832173,50.4
PIEDRUJA,654.5,27.451944,55.79498,113.12,716380.3606379923,188655.24001282733,46.9
RIAI99PA,799.2,24.36596667,57.86790278,6.32,521711.5411576098,414062.2384984093,70.1
RIAL99MS,633.0,27.03537778,57.43957778,197.76,682177.3757141865,370388.0631102361,44.5
RIBA99PA,513.3,24.22177778,56.37919444,30.94,513696.04631668463,248306.27824752496,32.1
RIDAGDA,563.6,27.56,56.107222,187.13,721360.466531661,223724.6551090842,41.9
RIDM99MS,535.8,26.61743889,55.86984444,97.52,663771.0603314741,194691.1396664344,41.8
RIDO99MS,457.2,23.31963333,56.61990278,41.32,458249.11188768526,275283.5689247763,46.3
RIGASLU,498.0,24.10468611,56.95479722,2.75,506367.1658517419,312359.0522961775,32.4
RIGU99MS,599.3,26.71883333,57.13221667,141.32,664551.8175507532,335384.040176603,30.6
RIJE99PA,573.0,23.96407778,56.55693056,7.34,497791.9344188512,268067.8381581446,35.9
RIKO99PA,605.8,22.58788056,57.74700278,3.58,415946.5010549272,401419.80248174537,44.9
RILP99PA,697.4,21.02064083,56.47544694,3.26,316503.7470777489,262976.27092934586,51.1
RIMADONA,629.2,26.2375,56.8483,131.39,636462.0230072048,302730.8663516501,21.3
RIME99MS,467.4,23.11318056,57.33323333,4.97,446610.9226069062,354828.7240728904,43.2
RIPA99PA,747.5,21.18959333,56.88833972,8.2,328790.43932376977,308474.7639520643,40.3
RIPR99PA,787.0,25.33798333,57.31561111,122.07,580587.2914910143,353311.1779675931,39.7
RIREZEKN,628.0,27.35713611,56.47986194,169.06,706729.3978069781,264540.5590439066,60.0
RIRU99PA,685.5,25.37179583,57.88648639,67.71,581338.8311954091,416897.2512058988,45.2
RISA99PA,550.1,22.4267425,56.71013972,121.61,403690.9532765923,286226.16888249014,52.8
RISE99MS,511.9,24.41218611,57.30063056,7.68,524837.0873793006,350926.6997665781,31.9
RISI99PA,671.1,25.12834917,56.64247444,79.64,569199.0114846802,278158.148854184,45.5
RIST99PA,524.3,22.55076389,57.18339167,79.97,412399.3435181338,338731.6803513924,33.9
RIVE99PA,752.4,21.53730278,57.39556111,2.33,352006.326771864,364099.3134806287,79.0
RIZI99PA,491.6,25.91818472,56.5199575,106.71,618013.2273255996,265599.8357661357,33.5
RIZO99MS,635.0,25.90561944,57.13507778,187.72,615333.8624191209,334033.54620107263,61.3
RUCAVA,852.2,21.17321889,56.16202167,18.86,324465.15224160854,227710.27371917287,81.9
SIGULDA,807.8,24.8533,57.165,100.15,551605.7523110912,336076.0886085024,45.3
SILI,637.5,26.346389,56.339167,99.14,645039.3585955747,246301.4560776353,53.6
VICAKI,662.8,21.862775,57.548207,11.05,372095.7325839486,380425.8193781087,32.0
