gh_id;name;country;lon;lat;elevation;Janvāris;Februāris;Marts;Aprīlis;Maijs;Jūnijs;Jūlijs;Augusts;Septembris;Oktobris;Novembris;Decembris;Ziema;Pavasaris;Vasara;Rudens;Gads;min;max;applitude;x;y;Lakes_ha;River_ha;Water_perc;Sea_area;Forest_ha;Bogs_ha;Population;to_bay;sea_amount;to_sea;to_opensea;h1;h5;h10;cont_tas;cont_pr;mm_ampl;cont_ka_vid_ampl;cont_ka_mm_ampl;cont_vid_ampl;cont_mm_ampl
RIAI99PA;Ainazi;Latvija;24.36596667;57.86790278;6.32;-2.6;-3.3;-0.3;5.2;10.6;14.8;17.7;17.0;12.6;7.1;2.6;-0.4;-2.1;5.2;16.5;7.4;6.8;-2.1;17.7;19.8;521323.7198;414432.061;0.0;0.0;0.0;0.0;47.3950189526;0.0;104;467.84723018;10;467.84723018;129964.475018;3.781;5.71281305651;10.5947236552;21.3011578664749;5.05806007300982;28.4;26.57558149;42.83635969407013;21.75757312938008;36.61309889878068
RIAL99MS;Aluksne;Latvija;27.03537778;57.43957778;197.76;-4.9;-5.1;-1.0;5.6;11.3;15.0;17.4;16.1;11.1;5.3;0.4;-3.0;-4.3;5.3;16.2;5.6;5.7;-4.3;17.4;21.7;682323.7198;370432.061;0.0;0.0;0.0;0.0;43.0204923203;0.0;41;158573.83045;0;158573.83045;274615.85975;192.204;188.598371659;181.159098053;24.4656669283915;42.3299115165594;30.5;31.03420387318894;47.97723573729822;24.98312106457847;41.1193418875397
RIBA99PA;Bauska;Latvija;24.22177778;56.37919444;30.94;-3.0;-2.9;0.7;7.0;12.3;15.8;18.3;17.4;12.6;6.9;2.3;-1.2;-2.4;6.7;17.2;7.3;7.2;-2.4;18.3;20.7;511323.7198;252432.061;0.0;0.0;0.0;0.0;0.0;0.0;480;66673.0778001;0;66673.0778001;183668.3459;25.806;26.2826887739;26.0641367412;22.1271743424634;20.808270621307;29.9;29.20851365021541;47.78618748630431;23.08400579216412;40.6409283185778
RIDAGDA;Dagda;Latvija;27.56;56.107222;187.13;-4.8;-4.7;-0.5;6.4;12.0;15.5;17.8;16.6;11.7;5.9;0.7;-2.9;-4.1;6.0;16.6;6.1;6.1;-4.1;17.8;21.9;720323.7198;222432.061;4.19007527946;0.0;4.19007527946;4.19007527946;3.63806086397;0.0;615;231036.133341;0;231036.133341;389296.138989;167.84;174.266342087;174.87358632;25.16;44.6089780502326;31.4;32.23331745682978;50.25562071053026;25.88455153791257;43.90685479161304
RIDM99MS;Daugavpils;Latvija;26.61743889;55.86984444;97.52;-4.1;-4.1;0.0;6.7;12.2;15.8;18.1;16.8;11.9;6.3;1.5;-2.2;-3.5;6.3;16.9;6.6;6.6;-3.5;18.1;21.6;666323.7198;202432.061;0.0;0.0;0.0;0.0;6.87081500774;0.0;0;199918.592363;0;199918.592363;343701.668084;124.522;119.690071262;123.916025469;24.9457196050264;40.2345554092767;31.4;31.76445829536616;51.48015906841794;25.19255803768224;44.08677127852352
RIDO99MS;Dobele;Latvija;23.31963333;56.61990278;41.32;-2.6;-2.7;0.7;6.6;12.0;15.6;18.1;17.4;12.6;7.0;2.5;-0.8;-2.0;6.4;17.0;7.4;7.2;-2.0;18.1;20.1;458323.7198;275432.061;0.0;0.0;0.0;0.0;0.0;0.0;13;42164.6279041;0;42164.6279041;125896.446866;39.534;38.1594952215;38.0580269235;21.2427566148833;26.4014831951799;29.3;27.84918760770704;45.76449777428181;21.94527857554036;39.24983953189098
RIGASLU;Riga;Latvija;24.10468611;56.95479722;2.75;-2.1;-2.0;1.5;7.4;13.0;16.7;19.3;18.3;13.4;7.5;3.0;-0.3;-1.5;7.3;18.1;8.0;8.0;-1.5;19.3;20.8;507323.7198;311432.061;0.0;0.15168524953;0.15168524953;0.15168524953;0.0;0.0;4587;12426.1637653;0;12426.1637653;160702.810479;4.552;7.98369040492;9.0199198523;22.5699082794272;4.43296769524904;28.4;28.47853447814311;43.08125017285806;23.00251609262501;37.1996007958201
RIGU99MS;Gulbene;Latvija;26.71883333;57.13221667;141.32;-4.5;-4.6;-0.5;6.2;11.8;15.4;17.8;16.5;11.4;5.6;0.8;-2.6;-3.9;5.8;16.6;5.9;6.1;-3.9;17.8;21.7;664323.7198;335432.061;0.0;0.0;0.0;0.0;7.7528899614;0.0;38;140026.962472;0;140026.962472;285182.735963;138.858;127.49510158;124.979328454;24.5408479662407;42.1786455620948;30.9;31.21175142989723;49.42766369927272;24.93738164822345;42.14129879152253
RIJE99PA;Jelgava;Latvija;23.96407778;56.55693056;7.34;-2.7;-2.7;0.7;6.7;12.0;15.5;17.9;17.0;12.3;6.9;2.5;-0.9;-2.1;6.5;16.8;7.2;7.1;-2.1;17.9;20.0;484323.7198;281432.061;0.0;0.0;0.0;0.0;40.9761430261;0.0;43;32124.2278698;0;32124.2278698;148290.690368;4.688;4.60998936321;7.10207503685;21.0505475409275;3.7727864706312;30.1;27.68049767940987;48.25732083881832;21.56857000829844;40.92300763348461
RIKO99PA;Kolka;Latvija;22.58788056;57.74700278;3.58;-0.8;-1.6;0.5;4.5;9.6;14.3;17.5;17.1;13.2;8.1;3.9;1.0;-0.5;4.9;16.3;8.4;7.3;-0.5;17.5;18.0;416323.7198;401432.061;0.0;0.0;0.0;0.0;14.0289825189;0.0;131;147.39220717;30;147.39220717;36521.1170532;1.835;4.37217893299;3.50109404162;17.3323485465412;3.6807807416504;25.3;21.41167633648843;34.67884286633571;17.99437586667927;30.45747169774793
RILP99PA;Liepaja;Latvija;21.02064083;56.47544694;3.26;-0.9;-1.1;1.3;6.2;11.2;14.8;17.9;17.7;13.6;8.5;4.1;1.1;-0.3;6.2;16.8;8.7;7.9;-0.3;17.9;18.2;316323.7198;263432.061;9.5889268132;0.0;9.5889268132;9.5889268132;0.0;0.0;7181;129012.827376;0;1210.9605946;1210.9605946;3.419;1.92769915395;7.19960281919;17.3856041264912;2.87363895712746;25.4;23.64738913849566;37.51415979320726;18.34538859404711;31.39646685730509
RIMADONA;Madona;Latvija;26.2375;56.8483;131.39;-4.5;-4.5;-0.5;6.0;11.5;15.3;17.6;16.2;11.3;5.6;0.9;-2.5;-3.8;5.7;16.4;5.9;6.0;-3.8;17.6;21.4;636323.7198;302432.061;0.0;0.0;0.0;0.0;14.2628118537;0.0;141;119969.154372;0;119969.154372;277654.882137;132.903;148.96820855;150.825234805;24.2848724281925;37.2961234399292;31.5;30.5659517828862;50.66806025502058;24.47440376102728;43.56125422951852
RIME99MS;Mersrags;Latvija;23.11318056;57.33323333;4.97;-1.6;-2.1;0.5;5.2;10.5;14.8;17.6;17.0;12.7;7.4;3.2;0.0;-1.2;5.4;16.5;7.8;7.1;-1.2;17.6;18.8;446323.7198;354432.061;0.0;0.0;0.0;0.0;12.964408962;0.0;197;1699.86292535;0;1699.86292535;86298.407945;5.267;5.03016931445;5.59877077063;18.8527983647147;4.32397115910191;27.4;23.82536346988432;40.38463198372229;19.38263289300097;34.93218991209272
RIPA99PA;Pavilosta;Latvija;21.18959333;56.88833972;8.2;-0.9;-1.2;1.2;5.6;10.3;14.3;17.3;17.2;13.2;8.2;3.9;1.0;-0.4;5.7;16.3;8.4;7.5;-0.4;17.3;17.7;328323.7198;308432.061;0.0;0.0;0.0;0.0;22.0994480997;0.0;313;82894.2920557;0;515.33847872;515.33847872;9.111;11.1772509081;14.0012168427;16.28;5.68601965193325;25.7;22.22141098543241;37.4433434802297;17.14743348716665;31.76048868217205
